0,14.73,146.16
11001,15.00,16.40,138.60
11021,15.00,16.43,138.81
11041,15.00,16.45,138.94
11061,15.00,16.57,136.18
11081,15.00,16.65,136.82
11101,15.00,16.29,148.88
11121,15.00,16.03,146.76
11141,15.00,16.38,130.79
11161,15.00,15.99,150.06
11181,15.00,15.72,147.96
11201,15.00,15.53,146.22
11221,15.00,15.40,145.13
11241,15.00,15.31,144.37
11261,15.00,15.24,143.83
11281,15.00,15.20,143.46
11301,15.00,15.06,146.17
11321,15.00,14.96,145.37
11341,15.00,14.79,147.65
11361,15.00,14.67,146.67
11381,15.00,14.58,145.99
11401,15.00,14.52,145.52
11421,15.00,15.01,130.72
11441,15.00,15.46,130.52
11461,15.00,15.77,133.07
11481,15.00,15.88,137.83
11501,15.00,15.85,141.28
11521,15.00,15.41,152.75
11541,15.00,15.11,150.21
11561,15.00,14.89,148.44
11581,15.00,14.74,147.21
11601,15.00,14.63,146.35
11621,15.00,14.56,145.75
11641,15.00,14.51,145.34
11661,15.00,14.47,145.05
11681,15.00,14.45,144.86
11701,15.00,14.43,144.73
11721,15.00,14.42,144.64
11741,15.00,14.41,144.59
11761,15.00,14.40,144.55
11781,15.00,14.29,147.37
11801,15.00,14.22,146.77
11821,15.00,14.17,146.36
11841,15.00,14.13,146.08
11861,15.00,14.10,146.04
11881,15.00,13.97,148.72
11901,15.00,13.89,148.03
11921,15.00,13.82,147.56
11941,15.00,14.20,135.75
11961,15.00,14.46,137.92
11981,15.00,14.65,139.43
12001,15.00,14.68,143.19
12021,15.00,14.70,143.38
12041,15.00,14.71,143.65
12061,15.00,14.71,143.71
12081,15.00,14.72,143.76
12101,15.00,14.72,143.79
12121,15.00,14.72,143.82
12141,15.00,14.73,143.84
12161,15.00,14.73,143.86
12181,15.00,14.73,143.87
12201,15.00,14.84,140.90
12221,15.00,14.91,141.67
12241,15.00,14.96,142.08
12261,15.00,14.99,142.37
12281,15.00,14.60,154.06
12301,15.00,14.32,151.82
12321,15.00,14.13,150.26
12341,15.00,14.00,149.18
12361,15.00,13.90,148.43
12381,15.00,14.25,136.42
12401,15.00,14.50,138.46
12421,15.00,14.67,139.88
12441,15.00,14.69,143.57
12461,15.00,14.71,143.85
12481,15.00,14.60,146.90
12501,15.00,14.53,146.33
12521,15.00,14.39,148.64
12541,15.00,14.28,147.81
12561,15.00,14.21,147.38
12581,15.00,14.15,146.96
12601,15.00,14.64,132.19
12621,15.00,14.99,134.86
12641,15.00,15.23,136.85
12661,15.00,15.40,138.23
12681,15.00,15.52,139.19
12701,15.00,15.29,148.52
12721,15.00,15.13,147.18
12741,15.00,15.01,146.40
12761,15.00,14.93,145.57
12781,15.00,14.87,145.13
12801,15.00,14.83,144.96
12821,15.00,14.91,141.74
12841,15.00,14.96,142.19
12861,15.00,15.11,139.67
12881,15.00,15.20,140.47
12901,15.00,15.27,141.03
12921,15.00,15.32,141.42
12941,15.00,14.82,156.31
